,test_id,gene_id,gene,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant,Transcript length (including UTRs and CDS),m6a_sites,m6a_ratio,SG_transcripts_per_cell,transcript_per_cell,fraction_molecules_in_SGs
10,ENST00000005286,ENSG00000006118.14,TMEM132A,SG,TOT,OK,19.7501,24.804000000000002,-0.328714,0.9984360000000001,0.08365,0.337443,no,3480.0,3.0,0.469434474,1.8135996326905417,19.408450704225352,0.09344381271482471
11,ENST00000005340,ENSG00000004975.11,DVL2,SG,TOT,OK,7.454689999999999,8.91341,-0.25783,0.797161,0.16385,0.447445,no,2989.0,0.0,0.063284928,0.6845445362718089,6.974499217527387,0.09814963267204939
12,ENST00000006015,ENSG00000005073.5,HOXA11,SG,TOT,OK,6.00851,4.45869,0.430385,-1.4319,0.0132,0.08043739999999999,no,2669.0,1.0,,0.5517456382001836,3.488802816901408,0.15814755581119896
13,ENST00000006053,ENSG00000006210.6,CX3CL1,SG,TOT,OK,9.32693,6.24909,0.577757,-2.45434,5e-05,0.000542289,yes,3285.0,2.0,0.504863731,0.8564674012855832,4.889741784037558,0.17515595692220393
14,ENST00000006275,ENSG00000007255.10,TRAPPC6A,SG,TOT,OK,0.41183400000000003,1.56599,-1.92694,0.595595,0.38285,0.624092,no,805.0,1.0,0.293149382,0.03781763085399449,1.2253442879499217,0.0308628613410079
15,ENST00000006777,ENSG00000005486.16,RHBDD2,SG,TOT,OK,11.8957,28.5568,-1.26339,4.43123,5e-05,0.000542289,yes,1721.0,0.0,,1.0923507805325987,22.344913928012517,0.04888587998377484
16,ENST00000007264,ENSG00000007376.7,RPUSD1,SG,TOT,OK,12.5324,19.1986,-0.615344,1.57041,0.00755,0.050046,no,2048.0,1.0,0.637002021,1.1508172635445364,15.022378716744912,0.07660686002155978
17,ENST00000007390,ENSG00000007520.3,TSR3,SG,TOT,OK,31.7936,60.7887,-0.935066,4.034,5e-05,0.000542289,yes,1210.0,1.0,0.536413005,2.9195224977043157,47.56549295774648,0.06137900221695999
18,ENST00000007516,ENSG00000004779.9,NDUFAB1,SG,TOT,OK,21.1301,71.041,-1.74935,7.497960000000001,5e-05,0.000542289,yes,665.0,1.0,0.035184107,1.940321395775941,55.587636932707355,0.0349056283526647
19,ENST00000007969,ENSG00000010626.14,LRRC23,SG,TOT,OK,1.7251400000000001,1.95355,-0.179384,0.08173419999999999,0.871,0.926323,no,1615.0,0.0,,0.15841505968778696,1.528599374021909,0.10363412571011327
20,ENST00000008527,ENSG00000008405.11,CRY1,SG,TOT,OK,12.3702,9.34678,0.404325,-1.7840900000000002,0.00195,0.015416,yes,2987.0,2.0,0.130735332,1.135922865013774,7.313599374021909,0.15531652841808657
21,ENST00000009041,ENSG00000010270.13,STARD3NL,SG,TOT,OK,5.67909,18.5793,-1.70996,3.7543800000000003,5e-05,0.000542289,yes,1703.0,1.0,0.112480225,0.521495867768595,14.537793427230046,0.03587173461907954
22,ENST00000009180,ENSG00000010278.13,CD9,SG,TOT,OK,10.6133,64.4213,-2.60166,8.925889999999999,5e-05,0.000542289,yes,1225.0,1.0,0.068511436,0.9745913682277318,50.407902973395935,0.01933409863810636
23,ENST00000009589,ENSG00000008988.9,RPS20,SG,TOT,OK,102.507,913.2689999999999,-3.15532,11.6925,5e-05,0.000542289,yes,519.0,0.0,0.023730062,9.412947658402205,714.6079812206572,0.01317218377875305
24,ENST00000010132,ENSG00000010219.13,DYRK4,SG,TOT,OK,0.625243,2.22102,-1.8287400000000003,0.986466,0.13075,0.41196800000000006,no,1840.0,0.0,0.116169144,0.057414416896235075,1.737887323943662,0.033036904122154875
25,ENST00000011619,ENSG00000010017.12,RANBP9,SG,TOT,OK,16.8231,11.2196,0.584428,-2.03277,0.00035,0.003304,yes,3384.0,1.0,0.096237527,1.5448209366391183,8.77902973395931,0.17596716077442986
26,ENST00000011691,ENSG00000008324.11,SS18L2,SG,TOT,OK,5.769819999999999,18.5951,-1.68832,1.27831,0.0494,0.230881,no,2697.0,0.0,0.273950256,0.5298273645546372,14.55015649452269,0.036413860205152235
27,ENST00000012049,ENSG00000011478.11,QPCTL,SG,TOT,OK,3.40858,7.6651,-1.16914,1.94278,0.00225,0.0174876,yes,2125.0,1.0,0.28303943,0.31300091827364557,5.99773082942097,0.052186556412012766
28,ENST00000012443,ENSG00000011485.14,PPP5C,SG,TOT,OK,33.1504,34.4879,-0.0570644,0.251692,0.6642,0.813226,no,2139.0,1.0,0.093650394,3.0441138659320472,26.985837245696402,0.1128041290035391
29,ENST00000013125,ENSG00000012983.11,MAP4K5,SG,TOT,OK,22.2727,11.118,1.0023799999999998,-2.8500400000000004,5e-05,0.000542289,yes,4354.0,1.0,0.144442419,2.04524334251607,8.699530516431924,0.2350981284165801
30,ENST00000014930,ENSG00000013583.9,HEBP1,SG,TOT,OK,5.26328,6.040690000000001,-0.19875,0.440082,0.4391,0.666401,no,1159.0,1.0,0.201722446,0.4833131313131313,4.726674491392801,0.10225225625188213
31,ENST00000016171,ENSG00000014919.12,COX15,SG,TOT,OK,6.22858,10.3677,-0.735124,1.36931,0.02,0.113096,no,5030.0,1.0,0.175158305,0.5719540863177226,8.11244131455399,0.07050332497217797
32,ENST00000017003,ENSG00000015532.9,XYLT2,SG,TOT,OK,22.2033,12.2603,0.8567799999999999,-3.08981,5e-05,0.000542289,yes,3507.0,2.0,0.719603027,2.038870523415978,9.593348982785603,0.21252958972664776
33,ENST00000020945,ENSG00000019549.11,SNAI2,SG,TOT,OK,12.6869,6.866810000000001,0.8856219999999999,-3.6862800000000004,5e-05,0.000542289,yes,2180.0,0.0,0.78335134,1.1650045913682276,5.373090766823162,0.21682205678744493
34,ENST00000022615,ENSG00000078668.13,VDAC3,SG,TOT,OK,27.8624,87.4293,-1.6498,7.465439999999999,5e-05,0.000542289,yes,1418.0,0.0,0.181043261,2.5585307621671256,68.41103286384977,0.03739938800893507
35,ENST00000023939,ENSG00000022277.12,RTF2,SG,TOT,OK,12.867,26.2435,-1.02829,2.7298299999999998,5e-05,0.000542289,yes,1745.0,0.0,,1.181542699724518,20.534820031298906,0.05753849792321656
36,ENST00000025008,ENSG00000023287.12,RB1CC1,SG,TOT,OK,23.8861,7.07857,1.7546400000000002,-4.0176300000000005,5e-05,0.000542289,yes,6636.0,6.0,0.674839749,2.1933976124885213,5.538787167449139,0.39600684160223465
37,ENST00000025301,ENSG00000023516.8,AKAP11,SG,TOT,OK,20.8383,7.50407,1.47349,-7.06918,5e-05,0.000542289,yes,9915.0,2.0,0.4734404,1.913526170798898,5.871729264475743,0.3258880109435269
38,ENST00000029410,ENSG00000027847.13,B4GALT7,SG,TOT,OK,5.9825800000000005,10.8348,-0.8568319999999999,3.11049,5e-05,0.000542289,yes,1698.0,2.0,0.527267452,0.549364554637282,8.47793427230047,0.06479934108857074
39,ENST00000031146,ENSG00000029364.11,SLC39A9,SG,TOT,OK,21.9087,14.73,0.572747,-1.3743100000000001,0.02195,0.122117,no,5192.0,3.0,0.258511252,2.0118181818181817,11.525821596244132,0.1745487872616182
40,ENST00000033079,ENSG00000031003.10,FAM13B,SG,TOT,OK,10.9589,4.71425,1.217,-4.50094,5e-05,0.000542289,yes,5465.0,3.0,0.514498707,1.0063269054178146,3.68877151799687,0.2728081423607079
41,ENST00000034275,ENSG00000031823.14,RANBP3,SG,TOT,OK,4.12294,6.72443,-0.705741,0.615735,0.29975,0.557589,no,1762.0,2.0,0.4693685,0.3785987144168962,5.261682316118936,0.07195392873816715
42,ENST00000035307,ENSG00000033100.16,CHPF2,SG,TOT,OK,5.56773,3.3822699999999997,0.719097,-2.5977799999999998,5e-05,0.000542289,yes,3978.0,2.0,0.740269911,0.5112699724517906,2.6465336463223785,0.19318476194786
43,ENST00000037243,ENSG00000034713.7,GABARAPL2,SG,TOT,OK,10.3505,21.4479,-1.05113,2.08506,0.00135,0.0111333,yes,974.0,1.0,0.071623335,0.9504591368227732,16.782394366197185,0.056634298782608276
44,ENST00000037869,ENSG00000035141.7,FAM136A,SG,TOT,OK,26.0791,46.0864,-0.821448,3.8246599999999997,5e-05,0.000542289,yes,1810.0,1.0,0.400557003,2.394775022956841,36.061345852895144,0.06640836514327096
45,ENST00000038176,ENSG00000035681.8,NSMAF,SG,TOT,OK,10.5083,11.0457,-0.0719549,0.256319,0.65205,0.805812,no,3574.0,1.0,0.09070024,0.9649494949494949,8.642957746478872,0.11164574943602076
46,ENST00000040584,ENSG00000037965.5,HOXC8,SG,TOT,OK,7.21663,3.4201300000000003,1.0772700000000002,-2.20851,0.00035,0.003304,yes,2417.0,1.0,1,0.6626841138659321,2.6761580594679186,0.247625177265385
47,ENST00000040663,ENSG00000037757.13,MRI1,SG,TOT,OK,1.8242099999999999,4.17009,-1.19281,1.39545,0.0197,0.11167200000000001,no,3178.0,0.0,0.095343163,0.16751239669421486,3.262981220657277,0.051337223651097844
48,ENST00000040738,ENSG00000038219.12,BOD1L1,SG,TOT,OK,33.8622,3.6861099999999998,3.1995,-14.3093,5e-05,0.000542289,yes,10567.0,0.0,0.746277845,3.1094765840220386,2.884280125195618,1.0780771801113276
49,ENST00000046640,ENSG00000040531.14,CTNS,SG,TOT,OK,2.9249,3.33311,-0.18848199999999998,0.673914,0.24045,0.51143,no,4139.0,2.0,0.525725215,0.2685858585858586,2.6080672926447575,0.10298271802392579
50,ENST00000052569,ENSG00000047932.13,GOPC,SG,TOT,OK,20.4342,10.957,0.8991379999999999,-2.727,5e-05,0.000542289,yes,4590.0,1.0,0.223058856,1.8764187327823691,8.573552425665103,0.21886128871916286
51,ENST00000053468,ENSG00000048544.5,MRPS10,SG,TOT,OK,9.44265,17.6535,-0.9026870000000001,4.04559,5e-05,0.000542289,yes,2100.0,1.0,0.10913735,0.8670936639118457,13.813380281690142,0.0627720113563508
52,ENST00000053867,ENSG00000030582.17,GRN,SG,TOT,OK,49.2392,38.8085,0.343435,-1.47298,0.00995,0.06334669999999999,no,2130.0,0.0,0.034421809,4.521505968778696,30.36658841940532,0.1488973969130261
53,ENST00000054650,ENSG00000041988.15,THAP3,SG,TOT,OK,1.7002400000000002,2.95635,-0.798077,0.71549,0.1969,0.479658,no,1366.0,0.0,0.742284117,0.1561285583103765,2.313262910798122,0.06749278587469723
54,ENST00000054666,ENSG00000049245.12,VAMP3,SG,TOT,OK,16.8854,15.0945,0.16175499999999998,-0.6492,0.25625,0.521025,no,2178.0,3.0,0.191696266,1.5505417814508724,11.811032863849766,0.13127910144053892
55,ENST00000054950,ENSG00000049449.9,RCN1,SG,TOT,OK,31.6673,35.2756,-0.155678,0.6772560000000001,0.2295,0.504365,no,2369.0,1.0,0.628623459,2.907924701561065,27.602190923317682,0.1053512277210038
56,ENST00000055077,ENSG00000049541.10,RFC2,SG,TOT,OK,12.9974,26.51,-1.0283200000000001,2.7612900000000002,5e-05,0.000542289,yes,1685.0,2.0,,1.1935169880624426,20.743348982785605,0.05753733348712944
57,ENST00000060969,ENSG00000052723.11,SIKE1,SG,TOT,OK,3.7257599999999997,8.888,-1.25433,2.51863,5e-05,0.000542289,yes,5494.0,0.0,0.224689318,0.34212672176308534,6.954616588419405,0.04919418884037163
58,ENST00000064778,ENSG00000054965.10,FAM168A,SG,TOT,OK,17.0748,7.54317,1.1786299999999998,-5.32164,5e-05,0.000542289,yes,7296.0,3.0,0.468751869,1.5679338842975206,5.902323943661972,0.2656468704977127
59,ENST00000072869,ENSG00000133597.10,ADCK2,SG,TOT,OK,2.68895,4.75539,-0.822523,1.13447,0.05155,0.238414,no,2574.0,1.0,0.478264345,0.24691919191919193,3.720962441314554,0.06635895841828479
60,ENST00000075120,ENSG00000059804.15,SLC2A3,SG,TOT,OK,11.4456,9.49014,0.270293,-1.14509,0.04565,0.21760900000000002,no,3827.0,4.0,0.393575522,1.0510192837465564,7.425774647887324,0.14153665221251732
61,ENST00000075503,ENSG00000060140.8,STYK1,SG,TOT,OK,1.02965,1.36906,-0.41103999999999996,1.29253,0.02505,0.135484,no,2771.0,0.0,0.734786432,0.09455004591368227,1.0712519561815337,0.08826125858449296
62,ENST00000078429,ENSG00000088256.8,GNA11,SG,TOT,OK,30.8645,21.868000000000002,0.497126,-2.3919200000000003,5e-05,0.000542289,yes,4190.0,2.0,0.454557553,2.834205693296602,17.11111111111111,0.16563539766019103
63,ENST00000078527,ENSG00000060642.10,PIGV,SG,TOT,OK,2.67821,2.1755,0.299919,-0.75298,0.1838,0.466945,no,2066.0,1.0,0.503600028,0.2459329660238751,1.7022691705790296,0.14447360633349227
64,ENST00000081029,ENSG00000061794.12,MRPS35,SG,TOT,OK,21.0082,30.8748,-0.555474,2.4487400000000004,5e-05,0.000542289,yes,1829.0,0.0,0.081125571,1.9291276400367308,24.15868544600939,0.0798523431396136
65,ENST00000084795,ENSG00000063177.12,RPL18,SG,TOT,OK,91.6449,483.54699999999997,-2.39953,6.39518,5e-05,0.000542289,yes,612.0,0.0,0.027342028,8.415509641873278,378.3622848200313,0.02224193578352063
66,ENST00000084798,ENSG00000063180.8,CA11,SG,TOT,OK,6.09318,7.327439999999999,-0.266115,1.06503,0.0621,0.273581,no,1715.0,1.0,0.338406202,0.5595206611570248,5.733521126760563,0.09758761654256845
67,ENST00000085068,ENSG00000063241.7,ISOC2,SG,TOT,OK,9.41793,22.6598,-1.26665,3.40721,5e-05,0.000542289,yes,1122.0,1.0,0.280614847,0.8648236914600551,17.730672926447575,0.04877557073257268
68,ENST00000085079,ENSG00000063245.14,EPN1,SG,TOT,OK,30.2003,24.0851,0.326423,-1.19203,0.0383,0.190321,no,2355.0,1.0,0.149134272,2.773213957759412,18.845931142410016,0.14715186725471466
69,ENST00000155926,ENSG00000071575.11,TRIB2,SG,TOT,OK,14.1816,7.43018,0.932549,-4.227580000000001,5e-05,0.000542289,yes,4391.0,3.0,0.714884277,1.302258953168044,5.813912363067293,0.223990124350791
70,ENST00000156109,ENSG00000068394.10,GPKOW,SG,TOT,OK,18.0732,18.2792,-0.0163482,0.074222,0.8967,0.938699,no,1658.0,0.0,,1.6596143250688704,14.302973395931142,0.11603281912983153
71,ENST00000159087,ENSG00000074855.10,ANO8,SG,TOT,OK,1.5613700000000001,1.28544,0.280549,-0.43341499999999994,0.44465,0.670465,no,4178.0,3.0,0.669865365,0.14337649219467402,1.0058215962441315,0.14254664319205362
72,ENST00000160827,ENSG00000079616.12,KIF22,SG,TOT,OK,36.1678,38.5678,-0.092689,0.43100200000000005,0.45605,0.678941,no,2081.0,0.0,0.10244372,3.32119375573921,30.178247261345852,0.11005257286738446
73,ENST00000161863,ENSG00000047188.15,YTHDC2,SG,TOT,OK,9.50206,4.3341199999999995,1.1325,-4.69335,5e-05,0.000542289,yes,6305.0,1.0,0.206469238,0.8725491276400367,3.391330203442879,0.25728816579235625
74,ENST00000162044,ENSG00000064545.14,TMEM161A,SG,TOT,OK,2.29067,5.49507,-1.26237,2.7467099999999998,0.00025,0.00243196,yes,2251.0,1.0,0.167546625,0.21034618916437098,4.2997417840375585,0.04892065610666763
75,ENST00000162391,ENSG00000065970.8,FOXJ2,SG,TOT,OK,21.3124,8.2891,1.3624,-6.46825,5e-05,0.000542289,yes,5524.0,1.0,0.197549631,1.9570615243342515,6.485993740219092,0.30173657310192586
76,ENST00000162749,ENSG00000067182.7,TNFRSF1A,SG,TOT,OK,34.1067,35.3197,-0.0504139,0.216466,0.70425,0.837023,no,2171.0,1.0,0.474802175,3.1319283746556468,27.6366979655712,0.11332498471985654
77,ENST00000163416,ENSG00000066455.12,GOLGA5,SG,TOT,OK,6.41055,4.8875,0.39135,-1.6683299999999999,0.00385,0.0279698,yes,2879.0,1.0,0.667019175,0.58866391184573,3.8243348982785603,0.1539258269746993
78,ENST00000163678,ENSG00000067365.14,METTL22,SG,TOT,OK,5.27062,9.18491,-0.801293,2.46654,5e-05,0.000542289,yes,1510.0,1.0,0.220407602,0.4839871441689623,7.186940532081377,0.06734258367778605
79,ENST00000164024,ENSG00000008300.16,CELSR3,SG,TOT,OK,8.37705,2.96908,1.49643,-7.00205,5e-05,0.000542289,yes,11933.0,1.0,0.570002859,0.7692424242424243,2.323223787167449,0.3311099122225801
80,ENST00000164133,ENSG00000068971.13,PPP2R5B,SG,TOT,OK,2.3942900000000003,2.24801,0.0909464,-0.31997800000000004,0.585,0.764559,no,2729.0,1.0,0.393338303,0.2198613406795225,1.7590062597809075,0.12499178980005862
81,ENST00000164227,ENSG00000069399.14,BCL3,SG,TOT,OK,2.22775,2.64796,-0.249292,0.7429140000000001,0.205,0.48682299999999995,no,1877.0,2.0,0.175936694,0.20456841138659318,2.071956181533646,0.09873201625102575
82,ENST00000164305,ENSG00000069943.9,PIGB,SG,TOT,OK,0.42243400000000003,1.47787,-1.80673,1.0857,0.12145,0.403541,no,1910.0,0.0,0.208340403,0.038791000918273644,1.1563928012519562,0.03354483085356203
83,ENST00000166139,ENSG00000070404.9,FSTL3,SG,TOT,OK,53.2422,57.3413,-0.107004,0.5128010000000001,0.36915,0.613272,no,2501.0,1.0,0.740639253,4.889090909090909,44.86799687010954,0.10896610613673184
84,ENST00000166345,ENSG00000071539.13,TRIP13,SG,TOT,OK,31.2827,37.0641,-0.24465900000000002,0.8661459999999999,0.132,0.413285,no,2431.0,2.0,0.229343799,2.8726078971533515,29.001643192488267,0.0990498323866486
85,ENST00000167106,ENSG00000071246.10,VASH1,SG,TOT,OK,5.46687,1.76289,1.63277,-4.35692,5e-05,0.000542289,yes,6449.0,3.0,0.60656948,0.5020082644628099,1.3794131455399061,0.3639288679290659
86,ENST00000167218,ENSG00000071994.10,PDCD2,SG,TOT,OK,4.262980000000001,22.623,-2.40786,3.4616599999999997,5e-05,0.000542289,yes,1118.0,1.0,0.200930213,0.39145821854912766,17.7018779342723,0.022113937289739875
87,ENST00000168216,ENSG00000072506.12,HSD17B10,SG,TOT,OK,27.4935,76.0713,-1.4682600000000001,6.51168,5e-05,0.000542289,yes,954.0,1.0,,2.5246556473829203,59.52370892018779,0.042414286562151196
88,ENST00000169298,ENSG00000073849.14,ST6GAL1,SG,TOT,OK,2.55357,1.24478,1.03663,-3.25828,5e-05,0.000542289,yes,4604.0,3.0,0.5499322,0.23448760330578514,0.9740062597809076,0.240745478739049
89,ENST00000170168,ENSG00000079313.14,REXO1,SG,TOT,OK,12.1951,7.2384699999999995,0.75255,-3.2835099999999997,5e-05,0.000542289,yes,4609.0,4.0,0.604335433,1.119843893480257,5.663904538341158,0.1977158841395721
90,ENST00000170447,ENSG00000075975.15,MKRN2,SG,TOT,OK,7.9617,9.48761,-0.252969,0.390327,0.4868,0.69926,no,2775.0,2.0,0.128611711,0.7311019283746556,7.4237949921752735,0.09848088870250885
91,ENST00000170564,ENSG00000076650.6,GPATCH1,SG,TOT,OK,5.5274,3.35583,0.719931,-2.9727200000000003,5e-05,0.000542289,yes,3191.0,1.0,0.267550156,0.5075665748393021,2.6258450704225353,0.19329646693802371
92,ENST00000173229,ENSG00000065320.8,NTN1,SG,TOT,OK,11.1004,4.76499,1.22007,-5.6438,5e-05,0.000542289,yes,5986.0,3.0,0.545432853,1.0193204775022957,3.728474178403756,0.27338810160103877
93,ENST00000173527,ENSG00000066583.11,ISOC1,SG,TOT,OK,8.04642,12.1088,-0.589635,2.48773,5e-05,0.000542289,yes,1942.0,1.0,0.12188206,0.7388815426997244,9.474804381846635,0.07798383089738437
94,ENST00000173898,ENSG00000067445.20,TRO,SG,TOT,OK,6.14149,5.435919999999999,0.176065,-0.53776,0.3308,0.5824779999999999,no,4634.0,3.0,0.682646081,0.5639568411386593,4.253458528951486,0.13258783112613995
95,ENST00000174618,ENSG00000070444.14,MNT,SG,TOT,OK,7.8139199999999995,2.67322,1.5474700000000001,-5.99562,5e-05,0.000542289,yes,4925.0,2.0,0.463609022,0.7175316804407713,2.091721439749609,0.34303405166926243
96,ENST00000175091,ENSG00000068697.6,LAPTM4A,SG,TOT,OK,16.8301,39.2816,-1.22282,5.50844,5e-05,0.000542289,yes,1365.0,1.0,0.044999976,1.545463728191001,30.73677621283255,0.050280605795794964
97,ENST00000175756,ENSG00000072135.12,PTPN18,SG,TOT,OK,2.7427599999999996,3.8077199999999998,-0.473297,1.50603,0.00945,0.0607192,no,3616.0,1.0,0.565101013,0.2518604224058769,2.9794366197183098,0.08453290153548862
98,ENST00000176763,ENSG00000072786.12,STK10,SG,TOT,OK,20.1834,9.83413,1.0373,-4.83209,5e-05,0.000542289,yes,5892.0,3.0,0.690085394,1.853388429752066,7.694937402190924,0.24085815554839526
99,ENST00000178640,ENSG00000137764.19,MAP2K5,SG,TOT,OK,2.6269400000000003,2.3046,0.188866,-0.411364,0.45755,0.680053,no,2344.0,1.0,0.093857639,0.24122497704315887,1.803286384976526,0.13376964360893734
100,ENST00000179259,ENSG00000078237.6,TIGAR,SG,TOT,OK,6.969460000000001,7.110410000000001,-0.0288866,0.02671,0.9615,0.973183,no,8209.0,0.0,,0.6399871441689624,5.563701095461659,0.11502903070961223
101,ENST00000182527,ENSG00000065308.4,TRAM2,SG,TOT,OK,41.9496,18.933,1.1477600000000001,-5.24974,5e-05,0.000542289,yes,7047.0,4.0,0.279555397,3.8521212121212116,14.814553990610328,0.26002275968366917
102,ENST00000184266,ENSG00000065518.7,NDUFB4,SG,TOT,OK,19.624000000000002,68.1055,-1.79515,7.10323,5e-05,0.000542289,yes,651.0,0.0,0.073705488,1.802020202020202,53.29068857589985,0.03381491683023864
103,ENST00000184956,ENSG00000068097.14,HEATR6,SG,TOT,OK,35.5838,16.3555,1.12144,-5.27211,5e-05,0.000542289,yes,6108.0,3.0,0.591856184,3.2675665748393015,12.797730829420969,0.2553239022129943
104,ENST00000185150,ENSG00000068912.13,ERLEC1,SG,TOT,OK,16.1851,10.620999999999999,0.607749,-1.11047,0.0544,0.24840700000000002,no,2446.0,0.0,0.075166198,1.4862350780532596,8.310641627543035,0.17883517839676735
105,ENST00000186436,ENSG00000075568.16,TMEM131,SG,TOT,OK,15.7286,9.9559,0.659764,-3.05836,5e-05,0.000542289,yes,6701.0,4.0,0.381933845,1.444315886134068,7.7902190923317685,0.18540118949360065
106,ENST00000187762,ENSG00000072954.6,TMEM38A,SG,TOT,OK,1.14944,2.0052,-0.802812,2.55836,5e-05,0.000542289,yes,2631.0,0.0,0.230310791,0.10555004591368228,1.5690140845070422,0.06727157324839715
107,ENST00000188790,ENSG00000078098.13,FAP,SG,TOT,OK,1.63374,2.37356,-0.538872,1.4926700000000002,0.01305,0.07969789999999999,no,2696.0,0.0,1,0.1500220385674931,1.8572456964006259,0.0807766246858121
108,ENST00000189444,ENSG00000077150.18,NFKB2,SG,TOT,OK,41.1055,30.1884,0.44533599999999995,-1.67203,0.00475,0.033657400000000004,yes,3012.0,0.0,0.096435265,3.7746097337006423,23.621596244131457,0.15979486291653153
109,ENST00000192788,ENSG00000065060.16,UHRF1BP1,SG,TOT,OK,19.7449,4.2733,2.2080599999999997,-7.89352,5e-05,0.000542289,yes,9567.0,5.0,0.36972627,1.8131221303948577,3.3437402190923318,0.5422437185885916
110,ENST00000193322,ENSG00000081087.14,OSTM1,SG,TOT,OK,2.69283,2.3378400000000004,0.20395,-0.735795,0.2019,0.483939,no,4471.0,2.0,0.074336585,0.24727548209366387,1.8292957746478875,0.13517523274291757
111,ENST00000194118,ENSG00000081791.8,DELE1,SG,TOT,OK,3.84856,6.84785,-0.831333,2.07092,0.00035,0.003304,yes,2203.0,1.0,,0.3534031221303948,5.3582550860719875,0.06595488950293078
112,ENST00000194214,ENSG00000081870.11,HSPB11,SG,TOT,OK,7.52533,22.342,-1.5699299999999998,4.7531099999999995,5e-05,0.000542289,yes,685.0,1.0,0.125157999,0.6910312213039486,17.48200312989045,0.039528148815076825
113,ENST00000196061,ENSG00000083444.16,PLOD1,SG,TOT,OK,45.7768,56.2443,-0.29709,1.41246,0.0143,0.0858765,no,2976.0,2.0,0.514894567,4.20356290174472,44.00962441314554,0.09551462794327162
114,ENST00000196371,ENSG00000083720.12,OXCT1,SG,TOT,OK,10.4764,8.17629,0.35763,-1.36455,0.0176,0.101826,no,3294.0,1.0,0.156824298,0.962020202020202,6.397723004694836,0.15036915498127124
115,ENST00000196482,ENSG00000083812.11,ZNF324,SG,TOT,OK,4.64823,2.2324,1.05808,-2.23664,0.001,0.00852377,yes,5054.0,4.0,0.895737958,0.42683471074380164,1.7467918622848202,0.2443535031045415
116,ENST00000196489,ENSG00000083817.8,ZNF416,SG,TOT,OK,4.05844,2.95997,0.45534300000000005,-1.2201600000000001,0.03405,0.173592,no,2545.0,1.0,0.838882561,0.3726758494031221,2.316095461658842,0.16090694687351223
117,ENST00000196551,ENSG00000083845.8,RPS5,SG,TOT,OK,81.9223,638.981,-2.96345,13.2839,5e-05,0.000542289,yes,741.0,0.0,0.014270239,7.522708907254362,499.9851330203443,0.01504586518765202
118,ENST00000197268,ENSG00000084444.13,FAM234B,SG,TOT,OK,2.68577,1.9356,0.472554,-1.3165799999999999,0.0257,0.138183,no,4711.0,1.0,,0.24662718089990818,1.5145539906103287,0.16283815725877385
